Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-12-12 08:33:12.064 -0600,"Success",0:00:00,0,0,0,"20171212_083312.064/LogFile.txt","","",1
2017-12-12 08:38:08.967 -0600,"Running",0:00:00,0,0,0,"20171212_083808.967/LogFile.txt","","",0
2017-12-12 08:38:55.443 -0600,"Failure",0:00:00,1,0,0,"20171212_083855.443/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'move'",0
2017-12-12 08:39:21.824 -0600,"Failure",0:00:00,1,0,1,"20171212_083921.824/LogFile.txt","","Invalid Point -- moveto Error - Invalid Point (1144, 590) is off screen",0
2017-12-12 08:39:58.191 -0600,"Failure",0:00:00,1,0,1,"20171212_083958.191/LogFile.txt","","Invalid Point -- moveto Error - Invalid Point (1144, 590) is off screen",0
2017-12-12 08:41:04.476 -0600,"Success",0:00:01,0,0,0,"20171212_084104.476/LogFile.txt","","",1
2017-12-12 08:41:12.583 -0600,"Success",0:00:01,0,0,0,"20171212_084112.583/LogFile.txt","","",1
2017-12-12 08:41:23.036 -0600,"Success",0:00:01,0,0,0,"20171212_084123.036/LogFile.txt","","",1
2017-12-12 08:41:46.885 -0600,"Success",0:00:01,0,0,0,"20171212_084146.885/LogFile.txt","","",1
2017-12-12 08:41:54.894 -0600,"Success",0:00:01,0,0,0,"20171212_084154.894/LogFile.txt","","",1
2017-12-12 08:42:02.207 -0600,"Success",0:00:01,0,0,0,"20171212_084202.207/LogFile.txt","","",1
2017-12-12 08:42:40.751 -0600,"Success",0:00:01,0,0,0,"20171212_084240.751/LogFile.txt","","",1
