Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Day3/Master Script,Success,2,1,2017-12-11 11:31:59 -0600,2017-12-11 11:32:20 -0600,0:00:00
Day4/Using OCR,Success,11,3,2017-12-12 08:33:12 -0600,2017-12-12 08:42:40 -0600,0:00:01
Day3/Methods and Classes/Master Script_Functions,Failure,1,1,2017-12-11 13:54:51 -0600,2017-12-11 13:54:51 -0600,0:00:00
Day3/Global Varibales,Success,2,0,2017-12-11 11:29:27 -0600,2017-12-11 11:31:45 -0600,0:00:00
Day2/Lesson 6 - Script with Variables,Success,9,2,2017-12-05 19:52:30 +0530,2017-12-05 20:11:07 +0530,0:00:04
Day2/Lesson 7 - How to use OCR,Failure,3,1,2017-12-05 22:44:59 +0530,2017-12-06 02:11:23 +0530,0:00:09
Day3/Day3 Class room script,Success,8,3,2017-12-11 11:38:56 -0600,2017-12-11 12:34:48 -0600,0:00:07
Day1/Lesson 4 - More basic,Success,1,0,2018-01-19 18:26:03 +0530,2018-01-19 18:26:03 +0530,0:00:00
Day3/Searching an index,Success,2,0,2017-12-11 08:17:12 -0600,2017-12-11 08:24:21 -0600,0:00:05
Day1/Lesson 2 - Basic Scripting,Success,25,9,2017-12-04 20:26:49 +0530,2017-12-05 01:17:52 +0530,0:00:12
