Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-12-04 08:56:58.006 -0600,"Success",0:00:00,0,0,0,"20171204_085658.006/LogFile.txt","","",1
2017-12-04 09:16:38.781 -0600,"Running",0:00:00,0,0,0,"20171204_091638.781/LogFile.txt","","",0
2017-12-04 09:17:10.814 -0600,"Running",0:00:00,0,0,0,"20171204_091710.814/LogFile.txt","","",0
2017-12-04 09:17:31.509 -0600,"Running",0:00:00,0,0,0,"20171204_091731.509/LogFile.txt","","",0
2017-12-04 09:18:07.962 -0600,"Success",0:00:04,0,0,0,"20171204_091807.962/LogFile.txt","","",1
2017-12-04 09:19:05.000 -0600,"Running",0:00:00,0,0,0,"20171204_091905.000/LogFile.txt","","",0
2017-12-04 09:19:30.220 -0600,"Success",0:00:03,0,0,0,"20171204_091930.220/LogFile.txt","","",1
2017-12-04 09:20:13.325 -0600,"Failure",0:00:22,1,0,1,"20171204_092013.325/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Chrome Icon""",0
2017-12-04 09:25:12.725 -0600,"Success",0:00:05,0,0,0,"20171204_092512.725/LogFile.txt","","",1
2017-12-04 09:25:33.790 -0600,"Success",0:00:04,0,0,0,"20171204_092533.790/LogFile.txt","","",1
2017-12-04 10:25:49.888 -0600,"Running",0:00:00,0,0,0,"20171204_102549.888/LogFile.txt","","",0
2017-12-04 10:28:53.230 -0600,"Running",0:00:00,0,0,0,"20171204_102853.230/LogFile.txt","","",0
2017-12-04 10:48:33.128 -0600,"Running",0:00:00,0,0,0,"20171204_104833.128/LogFile.txt","","",0
2017-12-04 10:49:08.753 -0600,"Running",0:00:00,0,0,0,"20171204_104908.753/LogFile.txt","","",0
2017-12-04 10:57:59.111 -0600,"Success",0:00:20,0,0,0,"20171204_105759.111/LogFile.txt","","",1
2017-12-04 11:03:37.475 -0600,"Success",0:00:19,0,0,0,"20171204_110337.475/LogFile.txt","","",1
2017-12-04 11:05:53.376 -0600,"Success",0:00:18,0,0,0,"20171204_110553.376/LogFile.txt","","",1
2017-12-04 11:08:53.259 -0600,"Success",0:00:17,0,0,0,"20171204_110853.259/LogFile.txt","","",1
2017-12-04 11:26:17.016 -0600,"Success",0:00:20,0,0,0,"20171204_112617.016/LogFile.txt","","",1
2017-12-04 11:33:43.318 -0600,"Success",0:00:20,0,0,0,"20171204_113343.318/LogFile.txt","","",1
2017-12-04 11:47:34.974 -0600,"Failure",0:00:00,1,0,1,"20171204_114734.974/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: Chrome",0
2017-12-04 11:48:07.740 -0600,"Success",0:00:18,0,0,0,"20171204_114807.740/LogFile.txt","","",1
2017-12-04 13:18:47.303 -0600,"Failure",0:00:00,1,0,1,"20171204_131847.303/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",0
2017-12-04 13:45:14.373 -0600,"Running",0:00:00,0,0,0,"20171204_134514.373/LogFile.txt","","",0
2017-12-04 13:45:33.159 -0600,"Success",0:00:21,0,0,0,"20171204_134533.159/LogFile.txt","","",1
2017-12-04 13:51:36.065 -0600,"Running",0:00:00,0,0,0,"20171204_135136.065/LogFile.txt","","",0
2017-12-04 13:53:20.467 -0600,"Failure",0:00:22,1,0,1,"20171204_135320.467/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: Google Chrome",1
